codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2,estrato_predominante,pct_predominante,fuente,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
0906,Barrio Caicedo,BUENOS AIRES,49.0,0.2153490646248234,227.53755668902835,3.0,58.75,ECV 2022 (Ficha Caracterización Territorial 9),1897.0,5.431700558705912,2.5830258302583027,1.276207647411624,0.8690476190476191,0.5754716981132075,0.29357592093441154
1315,Nuevos Conquistadores,SAN JAVIER,1.0,0.2660207079271817,3.759105852292265,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),4030.0,1.5600598044409424,0.024813895781637715,0.02451103101434977,0.32936507936507936,0.03773584905660377,0.2916292303084756
1301,El Pesebre,SAN JAVIER,1.0,0.2952834126413418,3.386576953493231,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),4458.0,1.4785491856885997,0.022431583669807086,0.0221836958598154,0.3253968253968254,0.03773584905660377,0.28766097634022164
1603,Belen,BELEN,89.0,0.5233559511508208,170.0563446432502,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),3822.0,5.141993003066901,2.328623757195186,1.2025589324385313,0.8611111111111112,0.5754716981132075,0.28563941299790363
0808,Enciso,VILLA HERMOSA,2.0,0.3150189721671133,6.348823965240503,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)",3976.0,1.9945402956934397,0.05030181086519115,0.04907756178601,0.39285714285714285,0.10754716981132076,0.28530997304582206
0801,Villa Hermosa,VILLA HERMOSA,2.0,0.3917420529645444,5.105400313458343,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)",4329.0,1.8091736768230051,0.046200046200046196,0.045164596114233305,0.38492063492063494,0.10754716981132076,0.27737346510931415
0407,Sevilla,ARANJUEZ,16.0,0.2562848855760052,62.43052517139155,3.0,54.48,ECV 2022 (Ficha Caracterización Territorial 4),806.0,4.1499452151542,1.9851116625310175,1.0936371540279959,0.8492063492063492,0.5754716981132075,0.27373465109314166
1318,Antonio Narino,SAN JAVIER,1.0,0.4139619845003673,2.415680756789668,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),5545.0,1.2283768162867619,0.018034265103697024,0.017873576799294983,0.30952380952380953,0.03773584905660377,0.27178796046720577
0715,Villa Flora,ROBLEDO,3.0,0.208866249639912,14.363258808792883,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),2161.0,2.731978867247132,0.13882461823229986,0.12999669388416987,0.5515873015873016,0.2811320754716981,0.2704552261156035
0303,Campo Valdes No. 2,MANRIQUE,8.0,0.3899823032906125,20.51375134845144,2.0,54.49,ECV 2022 (Ficha Caracterización Territorial 3),6059.0,3.0686923282806378,0.13203498927215712,0.12401688855433232,0.5476190476190477,0.2811320754716981,0.26648697214734957
