barrio,localidad,area_has,listing_count,area_km2,density_per_km2
SAN FELIPE,Suroccidente,71.12,16.0,0.7106380139883853,22.514979054106025
ZONA FRANCA,"Suroriente, Norte - Centro Historico",320.71,0.0,3.2045322674992214,0.0
SAN ROQUE,Suroriental,103.25,1.0,1.0316495034621898,0.9693214571848532
POR FIN,Suroccidente,48.13,0.0,0.48091289123406866,0.0
KALAMARY,Suroccidente,8.95,0.0,0.08940547138275756,0.0
SANTODOMINGO,Suroccidente,16.44,2.0,0.1642563238144669,12.17609132820401
LUCERO,Suroccidente,52.46,7.0,0.5241277219564364,13.355523294724362
CHIQUINQUIRA,Suroriental,78.99,19.0,0.7892812496623588,24.072534357211552
NUEVA GRANADA,Suroccidente,24.45,0.0,0.2442889893358658,0.0
ME QUEJO,Suroccidente,37.38,0.0,0.3735304463646181,0.0
LA PRADERA,Suroccidente,89.12,0.0,0.8904213506897196,0.0
EL SILENCIO,Suroccidente,35.1,10.0,0.3507478494363875,28.51050980374899
VILLA DEL ROSARIO,Suroccidente,20.75,0.0,0.20734982232487115,0.0
LAS ESTRELLAS,Suroccidente,20.36,4.0,0.20339259234657756,19.666399615891947
COLINA CAMPESTRE,Suroccidente,26.05,3.0,0.26026925261683187,11.526524819343901
CENTRO,Norte - Centro Historico,92.78,1.0,0.9270895364682014,1.078644468159521
OLAYA,Suroccidente,95.74,10.0,0.9566639544660374,10.452991307257424
MERCEDES SUR,Suroccidente,7.67,0.0,0.07660384441764659,0.0
EL ROSARIO,Norte - Centro Historico,85.22,53.0,0.8514741264097109,62.2449917808748
EL RECREO,"Norte - Centro Historico, Suroccidente",112.49,45.0,1.1240249751704392,40.03469762153329
BARLOVENTO,Norte - Centro Historico,10.41,0.0,0.10400415161626901,0.0
LAS MERCEDES,Norte - Centro Historico,8.95,2.0,0.08942387445712717,22.36539192851533
BETANIA,Norte - Centro Historico,22.25,14.0,0.2222891584995326,62.98102927961481
LAS DELICIAS,Norte - Centro Historico,65.73,54.0,0.6567183376582698,82.2270323569059
CAMPO ALEGRE,Norte - Centro Historico,71.92,2.0,0.718623636364538,2.783097992876838
VILLANUEVA,Norte - Centro Historico,201.12,0.0,2.0095212392234343,0.0
BOSTON,Norte - Centro Historico,97.06,41.0,0.9697576712756122,42.278603422717865
ABAJO,Norte - Centro Historico,86.01,23.0,0.8593697444554209,26.763800038800536
LOS NOGALES,Norte - Centro Historico,25.06,32.0,0.250411294296538,127.78976319696457
NUEVO HORIZONTE,Norte - Centro Historico,28.03,36.0,0.2801154091111017,128.51845642565624
COLOMBIA,Norte - Centro Historico,61.59,58.0,0.6153911814965143,94.2489943696545
AMERICA,Norte - Centro Historico,6.58,4.0,0.06573058505220535,60.85447127578541
