codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2
0913,Loreto,BUENOS AIRES,6.0,0.5920762032838234,10.13383069058052
0906,Barrio Caicedo,BUENOS AIRES,49.0,0.21534906462482348,227.53755668902835
1013,Barrio Colon,LA CANDELARIA,18.0,0.33537764276565146,53.670840583066784
1008,Corazon de Jesus,LA CANDELARIA,2.0,0.3201534561114965,6.2470042469367595
1012,Perpetuo Socorro,LA CANDELARIA,1.0,0.7152224198463415,1.3981664615810563
1007,Guayaquil,LA CANDELARIA,3.0,0.31620640917456416,9.487473729047114
1020,San Diego,LA CANDELARIA,41.0,0.7609107297998011,53.882799117298916
1014,Las Palmas,LA CANDELARIA,9.0,0.2326020866280012,38.69268814597366
1006,San Benito,LA CANDELARIA,1.0,0.4681227983057415,2.136191622410318
1016,Boston,LA CANDELARIA,71.0,0.5330868051797075,133.18656419579804
1017,Los Angeles,LA CANDELARIA,8.0,0.23529792712038733,33.99944954001612
1004,El Chagualo,LA CANDELARIA,4.0,0.31074422469612145,12.872322901291643
1005,Estacion Villa,LA CANDELARIA,1.0,0.1810855462351149,5.522251890284143
1019,La Candelaria,LA CANDELARIA,53.0,0.6716052773196641,78.91540133740429
1003,Jesus Nazareno,LA CANDELARIA,1.0,0.3228057167843225,3.0978385697801443
1015,Bombona No. 1,LA CANDELARIA,136.0,0.213706948779716,636.385483843979
1018,Villa Nueva,LA CANDELARIA,18.0,0.30585584590111375,58.85125375638424
1011,Calle Nueva,LA CANDELARIA,3.0,0.22040318941957648,13.611418273485004
1001,Prado,LA CANDELARIA,74.0,0.6214674692983277,119.07300648181992
1002,Hospital San Vicente de Paul,LA CANDELARIA,7.0,0.09099809317112706,76.92468881557885
1009,La Alpujarra,LA CANDELARIA,1.0,0.28027187509590035,3.5679641407395266
1010,Centro Administrativo,LA CANDELARIA,0.0,0.13903501130482432,0.0
1311,Belencito,SAN JAVIER,2.0,0.37231654462561087,5.371773102404389
1301,El Pesebre,SAN JAVIER,1.0,0.29528341264134184,3.386576953493231
1312,Betania,SAN JAVIER,0.0,0.37429797574530715,0.0
1309,San Javier No.1,SAN JAVIER,12.0,0.21282349074765192,56.3847531954477
1317,Eduardo Santos,SAN JAVIER,0.0,0.15160244843274395,0.0
1319,El Socorro,SAN JAVIER,1.0,0.1653897647954658,6.046323369748303
1308,San Javier No.2,SAN JAVIER,21.0,0.160103449964632,131.16519353355002
1304,Los Alcazares,SAN JAVIER,15.0,0.2682372764296002,55.92063936697777
1305,Metropolitano,SAN JAVIER,0.0,0.08562830085219099,0.0
1316,El Salado,SAN JAVIER,2.0,0.3900253210995442,5.127872196506827
1303,Santa Rosa de Lima,SAN JAVIER,1.0,0.15027525740047687,6.654455412676782
1315,Nuevos Conquistadores,SAN JAVIER,1.0,0.2660207079271817,3.759105852292265
1313,El Corazon,SAN JAVIER,0.0,0.2260317534780461,0.0
