id,lat,lon,room_type,property_type,reviews_count,nightly_usd,city
53076927,6.1797,-75.55197,Entire home/apt,Entire serviced apartment,21,62.57,Medellin
53462790,6.24914,-75.60906,Entire home/apt,Entire rental unit,28,34.0,Medellin
1503869439361981925,6.24916,-75.57073,Private room,Room in hotel,0,32.9,Medellin
932569713608139750,6.2451,-75.5884,Entire home/apt,Entire rental unit,7,32.58,Medellin
1274673813230040275,6.2475,-75.58996,Entire home/apt,Entire rental unit,73,62.35,Medellin
1233307514993706853,6.143,-75.6141,Entire home/apt,Entire rental unit,42,63.31,Medellin
727634883079017424,6.2338,-75.5928,Entire home/apt,Entire rental unit,93,61.83,Medellin
979258226494379880,6.24783,-75.59101,Private room,Private room in home,2,32.76,Medellin
1440179290424515532,6.1741,-75.5828,Private room,Private room in home,0,33.57,Medellin
1629078637445093066,6.2313,-75.6034,Entire home/apt,Entire rental unit,4,32.41,Medellin
880397216936788220,6.2318,-75.6034,Entire home/apt,Entire loft,16,33.13,Medellin
1585146528277917971,6.1609,-75.5821,Entire home/apt,Entire rental unit,3,33.12,Medellin
45503728,6.23756,-75.59768,Entire home/apt,Entire rental unit,30,37.77,Medellin
48747619,6.22108,-75.56882,Private room,Private room in rental unit,7,32.4,Medellin
622602673663453669,6.2513,-75.593,Entire home/apt,Entire vacation home,9,33.12,Medellin
1622673573094942558,6.2427,-75.6022,Entire home/apt,Entire rental unit,3,37.75,Medellin
1627243837552818306,6.1713,-75.5922,Private room,Private room in home,4,32.61,Medellin
1505981450920519378,6.24962,-75.58782,Private room,Room in hotel,0,40.29,Medellin
1411527451923095544,6.25127,-75.59489,Entire home/apt,Entire rental unit,0,32.11,Medellin
1681257697095407031,6.172564078960858,-75.5948532957422,Entire home/apt,Entire rental unit,4,32.35,Medellin
1310409216391457651,6.2404,-75.5933,Entire home/apt,Entire condo,35,60.41,Medellin
893358307064656439,6.18162,-75.60005,Private room,Private room in home,2,33.64,Medellin
944194284630575826,6.2451,-75.5884,Entire home/apt,Entire rental unit,59,60.42,Medellin
1625368302941083794,6.2441,-75.5867,Private room,Room in hotel,0,33.01,Medellin
50099178,6.3831,-75.5951,Private room,Private room in farm stay,1,33.5,Medellin
1100684995371477917,6.1769,-75.5864,Entire home/apt,Entire rental unit,80,67.68,Medellin
1055792479758558599,6.2399,-75.5975,Entire home/apt,Entire loft,17,62.57,Medellin
1206646619762687915,6.20765,-75.56946,Entire home/apt,Entire rental unit,3,61.92,Medellin
771761898424217229,6.209,-75.5028,Private room,Room in hotel,14,33.16,Medellin
1097193957993776106,6.24437,-75.56113,Entire home/apt,Entire rental unit,41,32.31,Medellin
1652976399702645365,6.2513,-75.5683,Private room,Room in hotel,0,40.77,Medellin
1675669309888221016,6.2465,-75.5955,Entire home/apt,Entire rental unit,0,62.93,Medellin
1424131745440041862,6.24628,-75.60806,Private room,Private room in rental unit,0,33.12,Medellin
1121920750896111653,6.1526,-75.622,Entire home/apt,Entire rental unit,41,63.3,Medellin
1157239391574586601,6.241,-75.5929,Entire home/apt,Entire rental unit,14,33.49,Medellin
1289167045254026736,6.14489,-75.62177,Entire home/apt,Entire rental unit,20,61.43,Medellin
711802972089991790,6.1647,-75.5977,Entire home/apt,Entire rental unit,38,61.96,Medellin
700889118559515388,6.2547,-75.5807,Private room,Private room in rental unit,7,32.75,Medellin
806481634100744195,6.25838,-75.59391,Private room,Private room in home,35,32.57,Medellin
806483175322916523,6.25867,-75.5928,Private room,Private room in home,19,32.2,Medellin
1293655422228892882,6.1756497028221835,-75.57192962042359,Entire home/apt,Entire rental unit,1,67.89,Medellin
14472518,6.17563,-75.58147,Entire home/apt,Entire serviced apartment,42,48.59,Medellin
1421273318752173451,6.1664,-75.6157,Entire home/apt,Entire rental unit,20,61.45,Medellin
842036727288844124,6.2472,-75.5878,Private room,Room in hotel,18,68.77,Medellin
1194128665755905912,6.2524,-75.5907,Entire home/apt,Entire rental unit,34,62.35,Medellin
661552579504890288,6.24797,-75.55401,Entire home/apt,Entire serviced apartment,18,32.78,Medellin
1437267727683597897,6.2299,-75.6036,Entire home/apt,Entire serviced apartment,3,32.87,Medellin
1316971884222532978,6.1748,-75.5869,Entire home/apt,Entire rental unit,24,32.08,Medellin
1279266512458397925,6.234139222833512,-75.5977173750989,Private room,Private room in guesthouse,6,33.5,Medellin
1690301741539482558,6.2523,-75.6086,Entire home/apt,Entire rental unit,0,42.85,Medellin
38109997,6.246,-75.55781,Entire home/apt,Entire rental unit,32,33.0,Medellin
1540915389415656448,6.2063,-75.5533,Entire home/apt,Entire rental unit,10,33.12,Medellin
1702425540942465560,6.1554,-75.6054,Entire home/apt,Entire home,3,61.0,Medellin
1055220718983752946,6.26444,-75.59769,Private room,Private room in rental unit,0,33.12,Medellin
52547826,6.2557,-75.5982,Private room,Room in hotel,69,33.6,Medellin
40226557,6.17133,-75.58332,Entire home/apt,Entire rental unit,45,33.57,Medellin
1638706864902556383,6.260901966774527,-75.5974328491397,Entire home/apt,Entire home,3,63.07,Medellin
965521145613884243,6.23439,-75.59448,Private room,Private room in home,19,32.67,Medellin
42927255,6.24604,-75.55983,Entire home/apt,Entire rental unit,13,33.0,Medellin
795682791294580401,6.26348,-75.60618,Entire home/apt,Entire rental unit,3,33.12,Medellin
1359786429537387383,6.2314,-75.6049,Private room,Private room in rental unit,0,33.1,Medellin
1689449165286327920,6.242326656295831,-75.56290888800119,Entire home/apt,Entire rental unit,1,32.49,Medellin
1650065496704249972,6.263812457343563,-75.59813860048668,Private room,Private room in rental unit,4,32.63,Medellin
1336880822245227052,6.246508716854413,-75.55763316798331,Entire home/apt,Entire rental unit,19,32.86,Medellin
1044136564296963442,6.2464,-75.5915,Entire home/apt,Entire rental unit,1,86.28,Medellin
24314834,6.18197,-75.5645,Entire home/apt,Entire rental unit,16,32.35,Medellin
38107037,6.24586,-75.55914,Entire home/apt,Entire rental unit,11,33.0,Medellin
1184983650681819706,6.26254,-75.59771,Entire home/apt,Entire rental unit,11,32.76,Medellin
978740217519710705,6.248,-75.5966,Entire home/apt,Entire rental unit,20,34.5,Medellin
1652955159467931308,6.25038,-75.56888,Private room,Room in hotel,0,32.31,Medellin
1569883284182240757,6.2071,-75.5881,Entire home/apt,Entire rental unit,3,32.77,Medellin
1453200265893420432,6.2387,-75.601,Private room,Private room in townhouse,1,33.12,Medellin
30651214,6.2561,-75.5845,Private room,Private room in condo,6,32.86,Medellin
1087057171997538839,6.19511,-75.57544,Entire home/apt,Entire rental unit,11,32.26,Medellin
37106098,6.2297,-75.6079,Entire home/apt,Entire rental unit,55,33.27,Medellin
1312633688106685192,6.2336,-75.5983,Private room,Private room in guesthouse,1,33.5,Medellin
654959332682659127,6.21212,-75.57062,Private room,Private room in rental unit,53,32.6,Medellin
1391661380571474676,6.2314,-75.605,Private room,Private room in rental unit,4,33.12,Medellin
825340690495936305,6.262,-75.5964,Private room,Room in hotel,0,33.36,Medellin
54342365,6.19933,-75.58872,Entire home/apt,Entire loft,58,32.68,Medellin
34396953,6.24428,-75.59372,Private room,Room in hotel,0,33.12,Medellin
975256610108910682,6.17021,-75.58867,Entire home/apt,Entire rental unit,48,63.44,Medellin
