barrio,localidad,area_has,listing_count,area_km2,density_per_km2,estrato_predominante,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
SAN ISIDRO,Suroccidente,48.86,15.0,0.4882254002293175,30.72351416570002,3.0,3191.0,3.4570581776951577,0.4700720777185835,0.3853114320502145,0.6931818181818182,0.6420454545454546,0.051136363636363646
7 DE AGOSTO,Suroccidente,13.31,0.0,0.132943468212016,0.0,1.0,986.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
ME QUEJO,Suroccidente,37.38,0.0,0.3735304463646181,0.0,1.0,1318.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
VILLA DEL ROSARIO,Suroccidente,20.75,0.0,0.2073498223248711,0.0,1.0,730.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LA CHINITA,Suroriental,51.16,0.0,0.5111744092138408,0.0,1.0,3709.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
SAN PEDRO ALEJANDRINO,Suroccidente,12.41,0.0,0.1240351943188279,0.0,1.0,978.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LA SIERRITA,Metropolitana,64.47,0.0,0.644150118723378,0.0,1.0,3687.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
VILLANUEVA,Norte - Centro Historico,201.12,0.0,2.0095212392234343,0.0,1.0,1656.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LA GLORIA,Suroccidente,7.7,0.0,0.0769215743866448,0.0,1.0,486.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LA LUZ,Suroriental,70.05,0.0,0.6999149104799288,0.0,1.0,5198.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
EL ROMANCE,Suroccidente,8.54,0.0,0.0853794261472045,0.0,1.0,817.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
PRIMERO DE MAYO,Suroriental,26.17,0.0,0.2615058051035017,0.0,1.0,1785.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
CALIFORNIA,Suroccidente,8.7,0.0,0.0869247574763915,0.0,1.0,573.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
CORDIALIDAD,Suroccidente,25.36,0.0,0.2534323754147852,0.0,1.0,674.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LAS AMERICAS,Metropolitana,72.92,0.0,0.7286108305121586,0.0,1.0,4137.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
SAN PEDRO,Suroccidente,6.18,0.0,0.0617922966432309,0.0,1.0,682.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LOS OLIVOS II,Suroccidente,36.68,0.0,0.3665058593347207,0.0,1.0,1833.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
EL EDEN I,Suroccidente,8.33,0.0,0.0832275634589515,0.0,1.0,359.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
EL EDEN 2000,Suroccidente,6.55,0.0,0.065437644021691,0.0,1.0,486.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LAS GARDENIAS,Metropolitana,23.8,0.0,0.2378386995106677,0.0,1.0,4135.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
CARRIZAL,Metropolitana,107.95,0.0,1.0785791017411237,0.0,1.0,6962.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
VILLA SAN PEDRO II,Metropolitana,36.22,0.0,0.3619491429621636,0.0,1.0,921.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
CORREGIMIENTO JUAN MINA,Suroccidente,34.24,0.0,0.3420817974977522,0.0,1.0,942.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
VILLAS DE SAN PABLO,Suroccidente,13.1,0.0,0.1308456632014734,0.0,1.0,629.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
